b1_global_mse,b1_oracle_mse,b2_global_mse,b2_oracle_mse,b3_global_mse,b3_oracle_mse,block1_regret,block2_regret,block3_regret,block_mse,delta_block_vs_global,global10_mse,global30_mse,globalU_mse,overlap_b1_b2,overlap_b1_b3,overlap_b2_b3,overlap_g_b1,overlap_g_b2,overlap_g_b3,query_id,rank_b1_of_b3,rank_b3_of_b1,rank_g_of_b1,rank_g_of_b3,relative_gain_block_vs_global,split,unique_u
0.04092108830809593,0.00952038075774908,0.16652075946331024,0.06549727916717529,0.21624399721622467,0.1764720231294632,0.03140070755034685,0.10102348029613495,0.039771974086761475,0.11722022294998169,0.059072986245155334,0.17629320919513702,0.16428712010383606,0.16428712010383606,0.0,0.0,0.0,0.0,0.0476190485060215,0.03809523954987526,31,11836.7998046875,11413.466796875,8292.595703125,2138.357177734375,0.33508373076224446,train,30.0
0.03581838682293892,0.009074230678379536,0.16807715594768524,0.0735243707895279,0.21380841732025146,0.17265045642852783,0.026744156144559383,0.09455278515815735,0.04115796089172363,0.11779826134443283,0.05703439563512802,0.17483265697956085,0.16289237141609192,0.16289237141609192,0.0,0.0,0.0,0.0,0.03809523954987526,0.05714286118745804,32,11132.4248046875,11101.9580078125,7945.21875,1844.414306640625,0.3262227813754254,train,30.0
0.03323212265968323,0.008864323608577251,0.1707196980714798,0.07497701048851013,0.21056406199932098,0.1739904135465622,0.024367799051105976,0.09574268758296967,0.03657364845275879,0.1189691424369812,0.05466921627521515,0.17363835871219635,0.160477414727211,0.160477414727211,0.0,0.0,0.0,0.0,0.03333333507180214,0.04285714030265808,33,10634.28125,10983.076171875,7865.900390625,1697.48583984375,0.31484527198180196,train,30.0
0.03746502473950386,0.009150953963398933,0.167497918009758,0.07564889639616013,0.21343553066253662,0.1759905070066452,0.028314070776104927,0.09184902161359787,0.03744502365589142,0.12029803544282913,0.05436224490404129,0.17466028034687042,0.16110074520111084,0.16110074520111084,0.0,0.0,0.0,0.0,0.03333333507180214,0.0476190485060215,34,10782.3759765625,11163.2705078125,7966.52880859375,1876.48583984375,0.31124560659171846,train,30.0
0.045197706669569016,0.009385960176587105,0.167916938662529,0.0750909149646759,0.2194301337003708,0.178911954164505,0.03581174649298191,0.09282602369785309,0.040518179535865784,0.12170147895812988,0.05732658505439758,0.17902806401252747,0.16285420954227448,0.16285419464111328,0.0,0.0,0.0,0.0,0.04285714030265808,0.0476190485060215,35,10929.1669921875,11383.890625,8284.9091796875,1774.128662109375,0.32021004846696083,train,30.0
0.045392002910375595,0.009209072217345238,0.16855773329734802,0.07539473474025726,0.21816948056221008,0.17814572155475616,0.03618293069303036,0.09316299855709076,0.04002375900745392,0.12137049436569214,0.057224735617637634,0.17859522998332977,0.1629384309053421,0.1629384309053421,0.0,0.0,0.0,0.0,0.03809523954987526,0.05714286118745804,36,10938.8955078125,11914.748046875,8750.8623046875,1870.585693359375,0.3204158119059453,train,30.0
0.044562771916389465,0.009065333753824234,0.16904018819332123,0.07519591599702835,0.21934497356414795,0.17849715054035187,0.03549743816256523,0.09384427219629288,0.04084782302379608,0.12147249281406403,0.05779993534088135,0.17927242815494537,0.16404342651367188,0.16404342651367188,0.0,0.0,0.0,0.0,0.04285714030265808,0.05714286118745804,37,10982.1953125,11944.0087890625,8805.181640625,1842.3096923828125,0.3224139703787846,train,30.0
0.04555530846118927,0.009423061273992062,0.17271541059017181,0.07551467418670654,0.22209331393241882,0.17621730268001556,0.03613224718719721,0.09720073640346527,0.04587601125240326,0.12041053175926208,0.061685070395469666,0.18209560215473175,0.16530929505825043,0.16530929505825043,0.0,0.0,0.0,0.0,0.03809523954987526,0.08571428060531616,38,11082.509765625,12073.013671875,8967.314453125,1721.8284912109375,0.33875101685901304,train,30.0
0.03972513973712921,0.00914835650473833,0.17241472005844116,0.0747903510928154,0.21213185787200928,0.1763591319322586,0.03057678323239088,0.09762436896562576,0.03577272593975067,0.12020810693502426,0.05569715052843094,0.1759052574634552,0.16005274653434753,0.16005274653434753,0.0,0.0,0.0,0.0,0.02380952425301075,0.11428572237491608,39,10865.119140625,11583.1904296875,8499.9765625,1581.742919921875,0.31663152842377196,train,30.0
0.042347073554992676,0.009573690593242645,0.17129215598106384,0.07471245527267456,0.21558445692062378,0.17798444628715515,0.03277338296175003,0.09657970070838928,0.03760001063346863,0.12110568583011627,0.056616365909576416,0.1777220517396927,0.1614317148923874,0.1614317148923874,0.0,0.0,0.0,0.0,0.02380952425301075,0.13333332538604736,40,10889.533203125,11750.2294921875,8696.08203125,1530.60009765625,0.31856691589686187,train,30.0
