arm,qc_index,e_base,e_ret,corr_cos,lambda_star,gain_lam1,gain_global
Oracle-Individual,2768,0.2641107439994812,0.13092835247516632,0.7128375768661499,0.9197332859039307,0.13318239152431488,0.13318239152431488
Oracle-Individual,2769,0.536112904548645,0.343575656414032,0.6074839234352112,0.8592560887336731,0.19253724813461304,0.19253727793693542
Oracle-Individual,2770,0.13566245138645172,0.08725802600383759,0.5974494814872742,0.9802212119102478,0.048404425382614136,0.048404425382614136
Oracle-Individual,2771,0.0924566462635994,0.03371712565422058,0.8243787884712219,0.7966487407684326,0.058739520609378815,0.058739520609378815
Oracle-Individual,2772,1.5173604488372803,0.6769178509712219,0.7442644834518433,0.9910790920257568,0.8404425978660583,0.8404425978660583
Oracle-Individual,2773,0.3300826847553253,0.17577296495437622,0.6837322115898132,0.9981234669685364,0.1543097198009491,0.1543097198009491
Oracle-Individual,2774,1.4935160875320435,0.6609407067298889,0.7467564344406128,0.9820992946624756,0.8325753808021545,0.8325753808021545
Oracle-Individual,2775,0.26698219776153564,0.12965328991413116,0.7179439663887024,0.9564498066902161,0.13732890784740448,0.13732890784740448
Oracle-Individual,2776,0.5375707149505615,0.26981180906295776,0.7152900099754333,0.8600428700447083,0.26775890588760376,0.26775890588760376
Oracle-Individual,2777,0.13933919370174408,0.08466947823762894,0.6391599178314209,0.8340392112731934,0.05466971546411514,0.05466971546411514
Oracle-Individual,2778,0.09385048598051071,0.03324641287326813,0.8142434358596802,0.8611327409744263,0.060604073107242584,0.060604073107242584
Oracle-Individual,2779,1.5310990810394287,0.6825876235961914,0.754659116268158,1.0,0.8485114574432373,0.8485114574432373
Oracle-Individual,2780,0.326633483171463,0.1800021082162857,0.6721417903900146,0.9263282418251038,0.1466313749551773,0.1466313749551773
Oracle-Individual,2781,1.54176926612854,0.7315492630004883,0.7287184596061707,1.0,0.8102200031280518,0.8102200031280518
Oracle-Individual,2782,0.2742851972579956,0.1426617056131363,0.6928827166557312,0.9796033501625061,0.13162349164485931,0.13162349164485931
Oracle-Individual,2783,0.5771759748458862,0.3544487953186035,0.6222440600395203,0.945298433303833,0.22272717952728271,0.22272717952728271
Oracle-Individual,2784,0.1360505074262619,0.08665479719638824,0.6193137764930725,0.8122948408126831,0.04939571022987366,0.04939571022987366
Oracle-Individual,2785,0.09359036386013031,0.028495868667960167,0.8438054919242859,0.8679447770118713,0.065094493329525,0.065094493329525
Oracle-Individual,2786,1.5428041219711304,0.6246232390403748,0.7725635766983032,1.0,0.9181808829307556,0.9181808829307556
Oracle-Individual,2787,0.32382360100746155,0.16341154277324677,0.7042946815490723,1.0,0.16041205823421478,0.16041205823421478
Oracle-Individual,2788,1.498399019241333,0.54288649559021,0.8063223361968994,1.0,0.955512523651123,0.955512523651123
Oracle-Individual,2789,0.2901563346385956,0.15284417569637299,0.7124295830726624,0.7936269640922546,0.1373121589422226,0.1373121589422226
Oracle-Individual,2790,0.5779383182525635,0.31995826959609985,0.6762651205062866,0.8659745454788208,0.2579800486564636,0.2579800486564636
Oracle-Individual,2791,0.136321023106575,0.09008731693029404,0.5960342884063721,0.8244647979736328,0.046233706176280975,0.046233706176280975
Oracle-Individual,2792,0.10563799738883972,0.03433704003691673,0.831694483757019,0.8653075695037842,0.07130095362663269,0.07130095362663269
Oracle-Individual,2793,1.4115253686904907,0.4967558979988098,0.8051288723945618,1.0,0.9147694706916809,0.9147694706916809
Oracle-Individual,2794,0.3274367153644562,0.17281769216060638,0.6902214288711548,1.0,0.1546190232038498,0.1546190232038498
Oracle-Individual,2795,1.4018770456314087,0.5020173192024231,0.8014912605285645,1.0,0.8998597264289856,0.8998597264289856
Oracle-Individual,2796,0.25684183835983276,0.1601009964942932,0.6223019361495972,0.8580156564712524,0.09674084186553955,0.09674084186553955
Oracle-Individual,2797,0.6277635097503662,0.3014989197254181,0.7230586409568787,0.9286258816719055,0.3262645900249481,0.3262646198272705
Oracle-Individual,2798,0.14395186305046082,0.08223717659711838,0.6548963189125061,0.9803846478462219,0.06171468645334244,0.06171468645334244
Oracle-Individual,2799,0.10568764805793762,0.03412981703877449,0.8366420865058899,0.8468275666236877,0.07155783474445343,0.07155783474445343
Oracle-Individual,2800,1.1625573635101318,0.41069480776786804,0.8074020743370056,1.0,0.7518625259399414,0.7518625259399414
Oracle-Individual,2801,0.3240094482898712,0.19169913232326508,0.6400961875915527,0.9453379511833191,0.13231031596660614,0.13231031596660614
Oracle-Individual,2802,1.1605747938156128,0.4522516429424286,0.7817001342773438,1.0,0.7083231210708618,0.7083231210708618
Oracle-Individual,2803,0.2751968502998352,0.1740298718214035,0.6332117319107056,0.7761800289154053,0.1011669784784317,0.10116696357727051
Oracle-Individual,2804,0.6268537044525146,0.2864868938922882,0.7415311336517334,0.8993184566497803,0.34036681056022644,0.34036681056022644
Oracle-Individual,2805,0.14202512800693512,0.08345796912908554,0.6455913782119751,0.9066693782806396,0.05856715887784958,0.05856715887784958
Oracle-Individual,2806,0.10084844380617142,0.03693493828177452,0.8232442140579224,0.7969896793365479,0.0639135092496872,0.0639135092496872
Oracle-Individual,2807,0.8788821697235107,0.3875570595264435,0.7520871162414551,0.9025049209594727,0.49132511019706726,0.49132511019706726
Oracle-Individual,2808,0.331246554851532,0.17771144211292267,0.6849992871284485,1.0,0.15353511273860931,0.15353511273860931
Oracle-Individual,2809,0.8539456725120544,0.38731324672698975,0.7402974963188171,0.9487760066986084,0.4666324257850647,0.4666324257850647
Oracle-Individual,2810,0.2661517858505249,0.1462617814540863,0.6769519448280334,0.8845483064651489,0.1198900043964386,0.1198900043964386
Oracle-Individual,2811,0.6110631227493286,0.26427915692329407,0.7561149597167969,0.9210509657859802,0.34678396582603455,0.34678396582603455
Oracle-Individual,2812,0.15132640302181244,0.08414525538682938,0.6682294011116028,0.9293336868286133,0.06718114763498306,0.06718114763498306
Oracle-Individual,2813,0.10093189030885696,0.03661099448800087,0.8198061585426331,0.8146045804023743,0.0643208920955658,0.0643208920955658
Oracle-Individual,2814,0.777921736240387,0.34242576360702515,0.748791515827179,1.0,0.4354959726333618,0.4354959726333618
Oracle-Individual,2815,0.3262949287891388,0.1611102670431137,0.7331560254096985,1.0,0.16518466174602509,0.16518466174602509
Oracle-Individual,2816,0.768337607383728,0.35984551906585693,0.7293658256530762,1.0,0.4084920883178711,0.4084920883178711
Oracle-Individual,2817,0.2659057080745697,0.1453995555639267,0.6759777069091797,0.9168885350227356,0.120506152510643,0.120506152510643
Oracle-Individual,2818,0.5512588620185852,0.21879181265830994,0.7839409112930298,0.8798603415489197,0.33246704936027527,0.33246704936027527
Oracle-Individual,2819,0.14968307316303253,0.08441053330898285,0.6651437282562256,0.8930554389953613,0.06527253985404968,0.06527253985404968
Oracle-Individual,2820,0.1014430820941925,0.038257818669080734,0.8265293836593628,0.7709711790084839,0.06318525969982147,0.06318525969982147
Oracle-Individual,2821,0.756743311882019,0.3445575535297394,0.7381191253662109,0.9844381213188171,0.41218575835227966,0.41218575835227966
Oracle-Individual,2822,0.34104737639427185,0.16383172571659088,0.7293913960456848,1.0,0.17721565067768097,0.17721565067768097
Oracle-Individual,2823,0.7502373456954956,0.3760852515697479,0.7067325711250305,0.962474524974823,0.3741520941257477,0.3741520941257477
Oracle-Individual,2824,0.27455854415893555,0.1193041279911995,0.7548866271972656,1.0,0.15525442361831665,0.15525442361831665
Oracle-Individual,2825,0.5386236310005188,0.2717856168746948,0.7346072196960449,0.7774101495742798,0.266838014125824,0.266838014125824
Oracle-Individual,2826,0.15303069353103638,0.08625391870737076,0.6618107557296753,0.9424775838851929,0.06677677482366562,0.06677677482366562
Oracle-Individual,2827,0.09481914341449738,0.04000971466302872,0.8054253458976746,0.7518483400344849,0.05480942875146866,0.05480942875146866
Oracle-Individual,2828,0.744493842124939,0.415332168340683,0.6651000380516052,1.0,0.329161673784256,0.329161673784256
Oracle-Individual,2829,0.37648633122444153,0.18170738220214844,0.7273219227790833,1.0,0.1947789490222931,0.1947789490222931
Oracle-Individual,2830,0.7314301133155823,0.4305574297904968,0.6413647532463074,1.0,0.30087268352508545,0.30087268352508545
Oracle-Individual,2831,0.2935072183609009,0.12971900403499603,0.7488948106765747,0.9339466691017151,0.16378821432590485,0.16378821432590485
Oracle-Individual,2832,0.5716780424118042,0.28117039799690247,0.7256780862808228,0.8423610925674438,0.29050764441490173,0.29050764441490173
Oracle-Individual,2833,0.1590045988559723,0.08788473159074783,0.6804043054580688,0.8446164131164551,0.07111986726522446,0.07111986726522446
Oracle-Individual,2834,0.08630301058292389,0.047110047191381454,0.7293519973754883,0.723335325717926,0.039192963391542435,0.039192963391542435
Oracle-Individual,2835,0.7314332723617554,0.42141470313072205,0.6510553359985352,1.0,0.3100185692310333,0.3100186288356781
Oracle-Individual,2836,0.39089080691337585,0.16656896471977234,0.7688319683074951,1.0,0.22432184219360352,0.22432184219360352
Oracle-Individual,2837,0.7247787714004517,0.4287868142127991,0.6392496228218079,1.0,0.2959919571876526,0.2959919571876526
Oracle-Individual,2838,0.32773277163505554,0.10241610556840897,0.8296909928321838,0.9653685092926025,0.22531667351722717,0.22531667351722717
Oracle-Individual,2839,0.5246545672416687,0.2760077118873596,0.7079746723175049,0.8107710480690002,0.24864685535430908,0.24864685535430908
Oracle-Individual,2840,0.14311307668685913,0.08960358053445816,0.6350308656692505,0.7874876260757446,0.05350949615240097,0.05350949615240097
Oracle-Individual,2841,0.08243090659379959,0.05088265612721443,0.6904203295707703,0.6925368309020996,0.03154825046658516,0.03154825046658516
Oracle-Individual,2842,0.6789894104003906,0.39126524329185486,0.6519144177436829,0.9487751126289368,0.28772416710853577,0.28772416710853577
Oracle-Individual,2843,0.4491678774356842,0.18549486994743347,0.7772546410560608,1.0,0.26367300748825073,0.26367300748825073
Oracle-Individual,2844,0.6821339130401611,0.35767170786857605,0.689905047416687,1.0,0.3244622051715851,0.3244622051715851
Oracle-Individual,2845,0.3301132917404175,0.10759566724300385,0.8214199542999268,0.9695305228233337,0.22251762449741364,0.22251762449741364
Oracle-Individual,2846,0.5523644089698792,0.3486819267272949,0.6244215965270996,0.8110722899436951,0.20368248224258423,0.20368248224258423
Oracle-Individual,2847,0.16834400594234467,0.08829119801521301,0.6947774291038513,0.8912675976753235,0.08005280792713165,0.08005280792713165
Oracle-Individual,2848,0.07852184772491455,0.053356267511844635,0.6658108830451965,0.6551596522331238,0.025165580213069916,0.025165580213069916
Oracle-Individual,2849,0.6779139637947083,0.36083605885505676,0.6858954429626465,1.0,0.3170779049396515,0.3170779049396515
Oracle-Individual,2850,0.3317960798740387,0.15898600220680237,0.7297415137290955,1.0,0.17281007766723633,0.17281007766723633
Oracle-Individual,2851,0.6803331971168518,0.36351683735847473,0.6825951337814331,0.9770181179046631,0.3168163597583771,0.3168163597583771
Oracle-Individual,2852,0.2792551517486572,0.11370538175106049,0.7706059813499451,0.9604421257972717,0.16554976999759674,0.16554976999759674
Oracle-Individual,2853,0.6325874328613281,0.2999989092350006,0.731560230255127,1.0,0.3325885236263275,0.3325885236263275
Oracle-Individual,2854,0.16444072127342224,0.08390814810991287,0.7073420882225037,0.8729576468467712,0.08053257316350937,0.08053257316350937
Oracle-Individual,2855,0.07538560032844543,0.051405906677246094,0.6980318427085876,0.6292454600334167,0.02397969365119934,0.02397969365119934
Oracle-Individual,2856,0.688779890537262,0.34863102436065674,0.7027565240859985,0.9930604100227356,0.3401488661766052,0.3401488661766052
Oracle-Individual,2857,0.27700546383857727,0.17274729907512665,0.624239444732666,1.0,0.10425816476345062,0.10425816476345062
Oracle-Individual,2858,0.6937410235404968,0.36917829513549805,0.6881871819496155,0.9006927013397217,0.3245627284049988,0.3245627284049988
Oracle-Individual,2859,0.26026472449302673,0.11504371464252472,0.7485015988349915,1.0,0.14522100985050201,0.14522100985050201
Oracle-Individual,2860,0.6162678003311157,0.2588284909725189,0.7615958452224731,0.9939165115356445,0.3574393093585968,0.3574393093585968
Oracle-Individual,2861,0.15744933485984802,0.08680550009012222,0.6755959987640381,0.8846949338912964,0.0706438347697258,0.0706438347697258
Oracle-Individual,2862,0.07409977912902832,0.05726061388850212,0.6729001402854919,0.5862440466880798,0.0168391652405262,0.0168391652405262
Oracle-Individual,2863,0.7333931922912598,0.353119432926178,0.720599353313446,1.0,0.3802737593650818,0.3802737593650818
Oracle-Individual,2864,0.28410741686820984,0.169268399477005,0.6434786319732666,1.0,0.11483901739120483,0.11483901739120483
Oracle-Individual,2865,0.7333391904830933,0.39733222126960754,0.6879255175590515,0.8486407399177551,0.3360069692134857,0.3360069692134857
Oracle-Individual,2866,0.22799314558506012,0.11497768759727478,0.7043933272361755,1.0,0.11301545798778534,0.11301545798778534
Oracle-Individual,2867,0.5630244612693787,0.3086167573928833,0.7413248419761658,0.7034106254577637,0.25440770387649536,0.25440770387649536
Oracle-Individual,2868,0.1367352306842804,0.09005283564329147,0.6153039932250977,0.7613683938980103,0.04668239504098892,0.04668239504098892
Oracle-Individual,2869,0.07729824632406235,0.05886540934443474,0.6613187193870544,0.5972477793693542,0.01843283697962761,0.01843283697962761
Oracle-Individual,2870,0.7723459005355835,0.3854363262653351,0.7080487012863159,0.9732345342636108,0.3869095742702484,0.3869095742702484
Oracle-Individual,2871,0.28877541422843933,0.17602914571762085,0.6260057687759399,1.0,0.11274626851081848,0.11274626851081848
Oracle-Individual,2872,0.7639691829681396,0.3958997130393982,0.7003178000450134,0.8827086091041565,0.36806946992874146,0.36806946992874146
Oracle-Individual,2873,0.23397204279899597,0.11625593155622482,0.7101951241493225,0.9524593949317932,0.11771611124277115,0.11771610379219055
Oracle-Individual,2874,0.5822297930717468,0.3310805559158325,0.7012671232223511,0.7404611706733704,0.2511492371559143,0.2511492371559143
Oracle-Individual,2875,0.12291219830513,0.1037617176771164,0.45612338185310364,0.6661756038665771,0.01915048062801361,0.01915048062801361
Oracle-Individual,2876,0.07975635677576065,0.06191899999976158,0.6383609175682068,0.5981946587562561,0.01783735677599907,0.01783735677599907
Oracle-Individual,2877,0.8222234845161438,0.40599915385246277,0.7127698659896851,0.9434858560562134,0.41622433066368103,0.41622433066368103
Oracle-Individual,2878,0.31789669394493103,0.1739569902420044,0.6729041934013367,0.994820773601532,0.14393970370292664,0.14393970370292664
Oracle-Individual,2879,0.8068084716796875,0.41558459401130676,0.6969351172447205,0.9606364369392395,0.39122387766838074,0.39122387766838074
Oracle-Individual,2880,0.2531404495239258,0.14060969650745392,0.6736034154891968,0.8753378391265869,0.11253075301647186,0.11253075301647186
Oracle-Individual,2881,0.6309613585472107,0.2780417203903198,0.7577369213104248,0.8615438342094421,0.35291963815689087,0.35291963815689087
Oracle-Individual,2882,0.13553473353385925,0.0927106961607933,0.5859749913215637,0.779725968837738,0.04282403737306595,0.04282403737306595
Oracle-Individual,2883,0.0813467800617218,0.06099440157413483,0.6566587090492249,0.6068323254585266,0.020352378487586975,0.020352378487586975
Oracle-Individual,2884,0.8435787558555603,0.38990914821624756,0.7386643886566162,0.893000602722168,0.45366960763931274,0.45366960763931274
Oracle-Individual,2885,0.3162297010421753,0.16907596588134766,0.6951997876167297,1.0,0.14715373516082764,0.14715373516082764
Oracle-Individual,2886,0.8165138959884644,0.3954152762889862,0.7212546467781067,0.9150741696357727,0.42109861969947815,0.42109861969947815
Oracle-Individual,2887,0.26048022508621216,0.1299130618572235,0.7115529179573059,0.9091805219650269,0.13056716322898865,0.13056716322898865
Oracle-Individual,2888,0.6512013077735901,0.25640344619750977,0.779227077960968,0.9622581601142883,0.3947978615760803,0.3947978615760803
Oracle-Individual,2889,0.1504250019788742,0.08804231137037277,0.6587071418762207,0.8262568116188049,0.062382690608501434,0.062382690608501434
Oracle-Individual,2890,0.09004437178373337,0.04360432177782059,0.7732530832290649,0.7295438647270203,0.04644005000591278,0.04644005000591278
Oracle-Individual,2891,0.8723186254501343,0.3857807517051697,0.75090092420578,0.9057892560958862,0.4865378737449646,0.4865378737449646
Oracle-Individual,2892,0.3117608428001404,0.18843188881874084,0.6296095848083496,0.9564998745918274,0.12332895398139954,0.12332895398139954
Oracle-Individual,2893,0.8530614376068115,0.38114792108535767,0.7444554567337036,1.0,0.47191351652145386,0.47191351652145386
Oracle-Individual,2894,0.23464658856391907,0.11194176971912384,0.7239755392074585,0.9542283415794373,0.12270481884479523,0.12270481884479523
