cell,type,factor,metric,mean_individual,mean_greedy_set,effect_hi_minus_lo,better_level,n_arms,mean_tf,mean_onpolicy,mean_cosine,mean_asymmetric,individual|tf,individual|onpolicy,greedy_set|tf,greedy_set|onpolicy,interaction,individual|cosine,individual|asymmetric,greedy_set|cosine,greedy_set|asymmetric,tf|cosine,tf|asymmetric,onpolicy|cosine,onpolicy|asymmetric,value
ETTh1_96,main_effect,oracle,test_fr_agg_mse,0.4356960367490139,0.462459022478528,0.026762985729514077,individual,8,,,,,,,,,,,,,,,,,,
ETTh1_96,main_effect,oracle,delta_mse_vs_independent_base,-0.004789985433912625,-0.00033680058406178326,0.004453184849850841,individual,8,,,,,,,,,,,,,,,,,,
ETTh1_96,main_effect,oracle,retrieval_augmented_frozen_host_mse,0.38166122300569605,0.38611440785554696,0.004453184849850911,individual,8,,,,,,,,,,,,,,,,,,
ETTh1_96,main_effect,oracle,final_effective_rank,55.83718299865723,54.50133037567139,-1.3358526229858398,greedy_set,8,,,,,,,,,,,,,,,,,,
ETTh1_96,main_effect,prefix,test_fr_agg_mse,,,-0.056403737296885414,onpolicy,8,0.47727939826221366,0.42087566096532825,,,,,,,,,,,,,,,,
ETTh1_96,main_effect,prefix,delta_mse_vs_independent_base,,,-0.012365028818845838,onpolicy,8,0.0036191214004357153,-0.008745907418410123,,,,,,,,,,,,,,,,
ETTh1_96,main_effect,prefix,retrieval_augmented_frozen_host_mse,,,-0.01236502881884588,onpolicy,8,0.39007032984004447,0.3777053010211986,,,,,,,,,,,,,,,,
ETTh1_96,main_effect,prefix,final_effective_rank,,,6.3728132247924805,tf,8,51.982850074768066,58.35566329956055,,,,,,,,,,,,,,,,
ETTh1_96,main_effect,score,test_fr_agg_mse,,,0.014951488157385673,cosine,8,,,0.4416017855350781,0.4565532736924638,,,,,,,,,,,,,,
ETTh1_96,main_effect,score,delta_mse_vs_independent_base,,,0.003985388535581683,cosine,8,,,-0.004556087276778045,-0.0005706987411963627,,,,,,,,,,,,,,
ETTh1_96,main_effect,score,retrieval_augmented_frozen_host_mse,,,0.003985388535581669,cosine,8,,,0.3818951211628307,0.38588050969841237,,,,,,,,,,,,,,
ETTh1_96,main_effect,score,final_effective_rank,,,4.842551231384277,cosine,8,,,52.74798107147217,57.590532302856445,,,,,,,,,,,,,,
ETTh1_96,interaction,oracle x prefix,test_fr_agg_mse,,,,,8,,,,,0.44821569425655583,0.42317637924147206,0.5063431022678715,0.4185749426891845,-0.06272884456360323,,,,,,,,,
