b1_global_mse,b1_oracle_mse,b2_global_mse,b2_oracle_mse,b3_global_mse,b3_oracle_mse,block_mse,channel,global10_mse,global30_mse,globalU_mse,overlap_b1_b2,overlap_b1_b3,overlap_b2_b3,overlap_g_b1,overlap_g_b2,overlap_g_b3,query_id,rank_b1_of_b3,rank_b3_of_b1,rank_g_of_b1,rank_g_of_b3,split,unique_u
0.7840837240219116,0.24058537185192108,0.2680360972881317,0.16885553300380707,0.23684918880462646,0.2280457466840744,0.2099875956773758,1,0.32020941376686096,0.31044989824295044,0.31044989824295044,0.0,0.0,0.0,0.0,0.0,0.20000000298023224,14,4259.30029296875,2550.900146484375,2685.400146484375,60.29999923706055,train,30.0
0.726439356803894,0.2232438027858734,0.23924793303012848,0.14413493871688843,0.2444065511226654,0.22059771418571472,0.1954629272222519,1,0.30695804953575134,0.29073432087898254,0.29073432087898254,0.0,0.0,0.0,0.0,0.0,0.30000001192092896,15,4507.2001953125,2670.60009765625,2852.400146484375,80.20000457763672,train,30.0
0.4566947817802429,0.248111754655838,0.19573618471622467,0.17205730080604553,0.29348060488700867,0.2750871181488037,0.23714712262153625,2,0.2826610207557678,0.30124399065971375,0.30000779032707214,0.0,0.0,0.4000000059604645,0.0,0.6000000238418579,0.699999988079071,0,48.5,894.2999877929688,587.9000244140625,7.200000286102295,train,26.0
0.5577689409255981,0.28038641810417175,0.2160325050354004,0.16687540709972382,0.2861132323741913,0.2811851501464844,0.2429754137992859,2,0.2989737391471863,0.2958798408508301,0.2927801311016083,0.10000000149011612,0.10000000149011612,0.5,0.10000000149011612,0.5,0.800000011920929,1,73.30000305175781,1065.4000244140625,775.7999877929688,7.900000095367432,train,24.0
0.5592275857925415,0.28135448694229126,0.212870255112648,0.1706223487854004,0.2840532958507538,0.2799481749534607,0.2436937391757965,2,0.297015517950058,0.2980784475803375,0.2949973940849304,0.10000000149011612,0.0,0.5,0.0,0.5,0.800000011920929,2,80.5999984741211,1092.0999755859375,787.6000366210938,8.90000057220459,train,24.0
0.557049036026001,0.27615678310394287,0.21571333706378937,0.18020939826965332,0.29253000020980835,0.28405410051345825,0.2483862191438675,2,0.30219364166259766,0.2992355227470398,0.2932582199573517,0.10000000149011612,0.0,0.5,0.0,0.5,0.6000000238418579,3,74.0999984741211,1092.300048828125,784.9000244140625,10.100000381469727,train,24.0
0.5697039365768433,0.2888518273830414,0.19897015392780304,0.19681189954280853,0.2785542905330658,0.27098846435546875,0.24864472448825836,2,0.29084616899490356,0.2979643642902374,0.29499053955078125,0.10000000149011612,0.0,0.4000000059604645,0.0,0.6000000238418579,0.6000000238418579,4,62.5,808.7000122070312,569.9000244140625,9.0,train,25.0
0.579571545124054,0.28934764862060547,0.19927503168582916,0.19313879311084747,0.2525497376918793,0.25514644384384155,0.23903736472129822,2,0.2783944010734558,0.29576125741004944,0.29413264989852905,0.0,0.0,0.4000000059604645,0.0,0.5,0.6000000238418579,5,88.80000305175781,756.2000122070312,516.5,10.699999809265137,train,26.0
0.5795871615409851,0.2881314158439636,0.19191491603851318,0.18184077739715576,0.2794356346130371,0.25436365604400635,0.23469175398349762,2,0.290282279253006,0.2970316410064697,0.2905673384666443,0.0,0.0,0.4000000059604645,0.0,0.6000000238418579,0.6000000238418579,6,105.80000305175781,747.9000244140625,499.6000061035156,8.600000381469727,train,26.0
0.5269910097122192,0.288589209318161,0.18374550342559814,0.1794518530368805,0.28495022654533386,0.2403459995985031,0.2264804095029831,2,0.2834874093532562,0.2790048122406006,0.2769080400466919,0.0,0.0,0.4000000059604645,0.0,0.800000011920929,0.5,7,97.80000305175781,740.2000122070312,485.3999938964844,8.90000057220459,train,26.0
0.514392077922821,0.293371319770813,0.13798311352729797,0.1746077984571457,0.22456884384155273,0.21070466935634613,0.20969459414482117,2,0.2343500405550003,0.28326505422592163,0.2802812457084656,0.0,0.0,0.5,0.0,0.6000000238418579,0.699999988079071,8,92.70000457763672,722.4000244140625,470.0,9.0,train,25.0
0.5180351734161377,0.2953454256057739,0.1610351949930191,0.17741017043590546,0.24865329265594482,0.24931113421916962,0.23148202896118164,2,0.25536486506462097,0.29656460881233215,0.2846825420856476,0.0,0.0,0.699999988079071,0.0,0.800000011920929,0.9000000357627869,9,41.900001525878906,713.5,451.3000183105469,5.900000095367432,train,23.0
0.5098916292190552,0.3217727839946747,0.14841867983341217,0.16717340052127838,0.23790356516838074,0.2413608729839325,0.2273532897233963,2,0.24434033036231995,0.3098190426826477,0.2791438698768616,0.0,0.0,0.699999988079071,0.0,0.800000011920929,0.800000011920929,10,40.5,441.6000061035156,241.6999969482422,7.099999904632568,train,23.0
0.5089820623397827,0.3255479037761688,0.1465805619955063,0.16519665718078613,0.23500582575798035,0.23690259456634521,0.22481998801231384,2,0.24206089973449707,0.32750600576400757,0.29297560453414917,0.0,0.0,0.699999988079071,0.0,0.800000011920929,0.800000011920929,11,41.10000228881836,435.1000061035156,236.5,7.0,train,23.0
0.5145630836486816,0.3233310580253601,0.1503487229347229,0.16726543009281158,0.23820607364177704,0.238806813955307,0.22622959315776825,2,0.24576787650585175,0.342507928609848,0.31024396419525146,0.0,0.0,0.699999988079071,0.0,0.800000011920929,0.800000011920929,12,40.70000076293945,440.20001220703125,240.10000610351562,6.800000190734863,train,23.0
0.524167001247406,0.32304617762565613,0.16010500490665436,0.17494313418865204,0.2481538951396942,0.24744749069213867,0.2333591878414154,2,0.2556059956550598,0.34668800234794617,0.31514057517051697,0.0,0.0,0.699999988079071,0.0,0.800000011920929,0.800000011920929,13,41.79999923706055,434.20001220703125,235.5,6.400000095367432,train,23.0
0.5054646730422974,0.3132265508174896,0.17002378404140472,0.16844800114631653,0.25822657346725464,0.2331637591123581,0.22226688265800476,2,0.2617906928062439,0.3495357036590576,0.31742313504219055,0.10000000149011612,0.0,0.699999988079071,0.0,0.800000011920929,0.800000011920929,14,44.0,422.0,224.10000610351562,6.5,train,22.0
0.5638046264648438,0.3207997679710388,0.18309152126312256,0.16510839760303497,0.2688637375831604,0.25092631578445435,0.23163677752017975,2,0.2795984447002411,0.35398533940315247,0.313224196434021,0.20000000298023224,0.0,0.699999988079071,0.0,0.699999988079071,0.800000011920929,15,46.20000076293945,225.8000030517578,100.80000305175781,6.5,train,21.0
0.45845648646354675,0.1799471378326416,0.2605139911174774,0.13268911838531494,0.1931551992893219,0.14932706952095032,0.1478637456893921,3,0.2509815990924835,0.24715456366539001,0.24656805396080017,0.0,0.0,0.10000000149011612,0.0,0.10000000149011612,0.5,0,4291.30029296875,2286.60009765625,2154.5,181.10000610351562,train,29.0
0.48031458258628845,0.18489038944244385,0.31310153007507324,0.19226449728012085,0.18331781029701233,0.1869346797466278,0.18843869864940643,3,0.2661786377429962,0.2509869933128357,0.2510984241962433,0.0,0.0,0.20000000298023224,0.0,0.20000000298023224,0.4000000059604645,1,4329.80029296875,1370.9000244140625,1295.2000732421875,20.30000114440918,train,28.0
0.42012470960617065,0.18180839717388153,0.36852431297302246,0.21703486144542694,0.2011234611272812,0.18992184102535248,0.19787771999835968,3,0.2861239016056061,0.2567475736141205,0.2566377520561218,0.0,0.0,0.10000000149011612,0.0,0.0,0.5,2,4167.10009765625,1297.5,1129.9000244140625,16.899999618530273,train,29.0
0.46528661251068115,0.1800553798675537,0.3779299557209015,0.2089688926935196,0.1944558322429657,0.18642494082450867,0.1930902898311615,3,0.29172462224960327,0.2601517140865326,0.2607041001319885,0.0,0.0,0.10000000149011612,0.0,0.0,0.5,3,3778.300048828125,1149.9000244140625,957.2000122070312,19.200000762939453,train,29.0
0.42661261558532715,0.18661966919898987,0.38885173201560974,0.20408232510089874,0.1916385293006897,0.18428754806518555,0.1911967396736145,3,0.2887061536312103,0.2692262828350067,0.26882079243659973,0.0,0.0,0.10000000149011612,0.0,0.0,0.6000000238418579,4,3261.60009765625,1084.5999755859375,916.7999877929688,23.100000381469727,train,29.0
